Department for Transport statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Road lengths statistics,,,,,,,,,,,,,,,,,,,,,,,,,,
Table RDL0102a,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total road length (miles) by road type and local authority in Great Britain, 2011",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Miles,
,,,,Motorways,,,,'A' roads ,,,,,,Minor roads,,,,,,,,All roads,,,,
"ONS Area 
Code",Region,Local authority,,"Trunk 
motorways","Principal
motorways","All
motorways",,"Trunk 
rural 'A'",Trunk urban 'A',Principal rural 'A',"Principal
urban 'A'","All 'A' 
roads",,Rural 'B' ,Urban 'B',Rural 'C' ,Urban 'C' ,Rural 'U' ,Urban 'U' ,"All minor 
roads",,"Major:
Trunk roads","Major: 
Prinicipal roads","Minor
roads","Total road 
length",
E08000018,Yorkshire and The Humber,Rotherham ,,16.8,0.0,16.8,,0.0,0.0,23.7,42.5,66.2,,37.0,22.2,18.5,92.1,159.9,335.6,665.4,,16.8,66.2,665.4,748.5
E08000019,Yorkshire and The Humber,Sheffield,,6.4,0.0,6.4,,2.8,0.7,27.0,63.5,94.1,,10.3,52.6,138.2,18.0,33.7,877.6,"1,130.4",,9.9,90.5,"1,130.4","1,230.9"
E08000032,Yorkshire and The Humber,Bradford,,1.7,0.0,1.7,,0.0,0.0,35.5,58.9,94.4,,19.0,29.6,34.8,44.6,223.8,757.3,"1,109.0",,1.7,94.4,"1,109.0","1,205.1"
E08000033,Yorkshire and The Humber,Calderdale,,7.6,0.0,7.6,,0.0,0.0,32.1,52.3,84.3,,15.2,6.5,37.7,30.5,251.2,300.7,641.8,,7.6,84.3,641.8,733.8
E08000034,Yorkshire and The Humber,Kirklees ,,14.4,0.0,14.4,,0.0,0.0,49.8,80.4,130.2,,31.4,24.6,39.7,53.1,283.0,612.6,"1,044.5",,14.4,130.2,"1,044.5","1,189.1"
E08000035,Yorkshire and The Humber,Leeds,,40.0,2.2,42.1,,6.3,0.0,64.9,118.1,189.3,,11.2,36.4,55.4,41.6,246.7,"1,244.9","1,636.2",,46.3,185.2,"1,636.2","1,867.7"
E08000036,Yorkshire and The Humber,Wakefield,,22.5,0.0,22.5,,6.1,0.0,51.6,46.7,104.3,,36.1,19.3,58.2,22.9,192.9,501.3,830.6,,28.6,98.2,830.6,957.5
E06000015,East Midlands,Derby UA,,0.0,0.0,0.0,,2.2,8.5,0.6,34.9,46.1,,0.2,3.6,0.0,47.1,23.4,351.8,426.1,,10.7,35.4,426.1,472.2
E06000016,East Midlands,Leicester UA,,0.0,0.0,0.0,,2.1,0.0,0.0,41.4,43.5,,0.4,8.7,1.5,27.0,10.9,416.8,465.2,,2.1,41.4,465.2,508.7
E06000018,East Midlands,Nottingham UA,,0.2,0.0,0.2,,0.6,5.8,0.0,38.5,45.0,,0.6,14.9,0.0,26.8,6.8,401.1,450.1,,6.6,38.5,450.1,495.2
E06000017,East Midlands,Rutland UA,,0.0,0.0,0.0,,11.5,0.0,47.8,0.0,59.3,,19.1,3.9,109.9,0.2,127.1,22.7,282.9,,11.5,47.8,282.9,342.3
E10000007,East Midlands,Derbyshire ,,22.1,0.0,22.1,,56.2,1.7,316.2,67.2,441.3,,234.7,57.8,702.8,121.8,"1,133.8",782.4,"3,033.3",,80.0,383.3,"3,033.3","3,496.7"
E10000018,East Midlands,Leicestershire ,,51.1,0.0,51.1,,49.3,0.2,181.6,37.4,268.5,,117.4,28.1,697.2,117.5,849.4,688.7,"2,498.2",,100.7,219.0,"2,498.2","2,817.8"
E10000019,East Midlands,Lincolnshire,,0.0,0.0,0.0,,38.3,0.0,606.0,43.9,688.2,,446.8,44.0,"1,721.8",100.5,"2,035.9",480.8,"4,829.7",,38.3,649.9,"4,829.7","5,518.0"
E10000021,East Midlands,Northamptonshire,,33.8,0.0,33.8,,104.6,0.9,226.9,82.9,415.3,,82.4,12.2,624.4,71.6,884.1,686.1,"2,360.7",,139.3,309.8,"2,360.7","2,809.7"
E10000024,East Midlands,Nottinghamshire ,,14.2,0.0,14.2,,79.6,4.4,248.4,60.1,392.6,,105.8,67.7,413.5,64.4,995.7,942.6,"2,589.6",,98.2,308.6,"2,589.6","2,996.4"
E06000019,West Midlands,"Herefordshire, County of UA",,4.7,0.0,4.7,,45.1,3.1,217.0,12.7,277.9,,185.1,11.2,648.8,19.2,805.7,123.6,"1,793.7",,52.9,229.7,"1,793.7","2,076.2"
E06000051,West Midlands,Shropshire UA,,7.7,0.0,7.7,,75.9,0.0,252.0,20.0,347.8,,332.6,15.8,"1,068.8",28.1,"1,247.6",181.5,"2,874.4",,83.6,272.0,"2,874.4","3,229.9"
E06000021,West Midlands,Stoke-on-Trent UA,,0.0,0.0,0.0,,0.6,9.9,3.7,50.8,65.0,,1.0,11.9,4.0,16.6,13.0,429.9,476.3,,10.5,54.5,476.3,541.3
E06000020,West Midlands,Telford and Wrekin UA,,7.5,0.0,7.5,,2.7,0.0,32.0,17.1,51.8,,32.0,9.9,71.8,68.3,134.1,264.1,580.2,,10.2,49.1,580.2,639.5
E10000028,West Midlands,Staffordshire ,,62.6,0.0,62.6,,52.4,8.2,312.6,97.0,470.3,,157.0,49.3,765.7,138.3,"1,271.5","1,002.0","3,383.7",,123.2,409.6,"3,383.7","3,916.6"
E10000031,West Midlands,Warwickshire,,87.1,0.0,87.1,,53.2,2.2,194.4,47.7,297.5,,230.2,36.2,477.3,59.5,825.2,551.7,"2,180.1",,142.5,242.1,"2,180.1","2,564.8"
E08000025,West Midlands,Birmingham,,13.7,2.0,15.7,,0.0,0.0,3.8,117.9,121.7,,0.0,76.4,3.4,85.1,18.3,"1,249.6","1,432.7",,13.7,123.7,"1,432.7","1,570.0"
E08000026,West Midlands,Coventry,,2.3,0.0,2.3,,1.9,0.0,2.9,29.1,33.8,,4.7,32.4,1.8,35.1,24.4,407.1,505.5,,4.2,31.9,505.5,541.6
E08000027,West Midlands,Dudley ,,3.4,0.0,3.4,,0.0,0.0,5.0,53.1,58.1,,2.1,26.0,1.7,21.5,7.1,514.4,572.7,,3.4,58.1,572.7,634.2
E08000028,West Midlands,Sandwell ,,11.2,0.0,11.2,,0.0,0.2,0.0,52.0,52.2,,0.2,23.5,0.0,34.4,1.1,430.4,489.7,,11.4,52.0,489.7,553.1
E08000029,West Midlands,Solihull,,12.3,0.0,12.3,,2.2,0.0,16.4,16.6,35.2,,22.7,20.4,40.6,21.6,85.3,300.2,490.9,,14.5,33.0,490.9,538.4
E08000030,West Midlands,Walsall,,5.4,0.0,5.4,,1.2,0.6,7.0,41.9,50.6,,3.7,21.1,0.0,6.6,28.5,421.2,481.2,,7.2,48.8,481.2,537.2
E08000031,West Midlands,Wolverhampton,,0.0,0.0,0.0,,0.0,0.0,0.2,38.2,38.4,,0.1,8.2,0.0,21.7,3.5,403.3,436.9,,0.0,38.4,436.9,475.3
E10000034,West Midlands,Worcestershire ,,47.5,0.0,47.5,,11.9,1.5,230.0,60.0,303.4,,190.9,50.6,570.1,90.8,725.8,615.2,"2,243.4",,60.9,289.9,"2,243.4","2,594.2"
E06000055,East of England,Bedford UA ,,0.0,0.0,0.0,,17.8,0.0,34.6,16.1,68.5,,13.2,5.2,115.0,14.9,175.9,159.9,484.0,,17.8,50.7,484.0,552.6
E06000056,East of England,Central Bedfordshire UA ,,16.5,0.0,16.5,,26.8,4.0,68.4,13.4,112.6,,49.3,4.9,177.8,21.7,301.6,221.7,777.0,,47.3,81.8,777.0,906.1
